Rank,Channel,Watch time (hours),Stream time (hours),Peak viewers,Average viewers,Followers,Followers gained,Partnered,Mature,Language,Watch time change,Stream time change,Peak viewers change,Average viewers change
1,r_u_u_,"28,679",38,"1,283",744,"27,672","11,353",Partnered,,Japanese,-70.00%,(-6.7%),-67.30%,-81.90%
2,紡木こかげ2 (kokagetsumugi),"23,155",4,"7,212","5,145","42,926","6,185",Partnered,,Japanese,-11.30%,(-61.7%),-165.20%,-190.50%
3,柊ツルギ (hiiragitsurugi),"269,072",34,"13,601","7,743","353,496","3,484",Partnered,,Japanese,-26.20%,(-18.7%),-38.90%,-55.30%
4,白波らむね (ramuneshiranami),"187,238",37,"9,670","4,959","302,528","3,001",Partnered,,Japanese,,(-7.6%),(-12.7%),-29.10%
5,葉っち (yohdazo),"105,444",47,"3,499","2,231","184,009","2,804",Partnered,,Japanese,-46.00%,-83.50%,(-34.6%),(-20.4%)
6,ときど (tokidoki77),"27,745",10,"6,770","2,774","66,548","2,328",Partnered,,Japanese,-2080.40%,-100%,-655.60%,-992.10%
7,Lazvell,"337,309",44,"27,610","7,537","469,305","2,078",Partnered,,Japanese,-29.80%,-68.90%,(-28.4%),(-23.1%)
8,ボドカさん (vodkavdk),"310,324",42,"37,555","7,344","632,455","2,015",Partnered,,Japanese,-95.20%,-1.80%,-335.80%,-91.70%
9,Aaceful,"22,661",35,"1,159",633,"26,024","1,817",Partnered,,Japanese,-278.00%,-160%,(-15.8%),-45.20%
10,darkzelk,"85,333",60,"5,675","1,422","65,243","1,769",Partnered,,Japanese,-206.30%,(-1.2%),-358.40%,-210.50%
